,substation_name,latitude,longitude,pnode_match
553,Abingdon,36.72004621,-82.00796658,ABINGDON
119,Acca,37.57993938,-77.47755036,ACCA
60,VMEA Peaking Gen,38.73998268,-77.50915689,AIRPORT
405,Alpine,37.33627018,-77.28109658,ALLIED
37,Philip Morris,37.34223674,-77.28516339,ALPINE
176,Altavista,37.13006373,-79.27844264,ALTAVSTA
525,Alum Ridge,36.97539425,-80.39842021,ALUMRIDG
50,Annandale,38.82350648,-77.1690137,ANNANDAL
423,Aquia Harbor,38.45115318,-77.38765809,AQUIA
52,Arcola,38.8966549,-77.5698336,ARCOLA
351,Arlington,38.84769082,-77.09782624,ARLINGTN
341,Comorn Dp,38.27994231,-77.20435371,ARNOLDCR
130,Ashburn,39.05139227,-77.49837049,ASHBURN
234,Axton,36.63455031,-79.7047789,AXTON
348,Ballston,38.88498274,-77.0984868,BALSTON
367,Banister,36.75052076,-79.40617252,BANISTE4
90,Barracks Road,38.07163454,-78.53051158,BARRCKRD
335,West Winchester,39.12957187,-78.20752686,BARTONVI
329,Bartonsville,39.130238,-78.19515274,BARTONVI
409,Basin,37.49209701,-77.43067209,BASIN
198,Battery Heights DP,38.75276319,-77.4577185,BATERYHT
87,Bath County,38.20908631,-79.80018441,BATH COUNTY
97,Bayview,37.27162161,-75.96784376,BAYVIEW
420,Bear Island DP,37.83706572,-77.36238895,BEAR DPL
168,Bear Garden,37.69708966,-78.28432132,BEAR GARDEN CC
205,Beaumeade,39.02615843,-77.4564009,BEAUMEAD
206,BECO,39.02455767,-77.43713272,BECO
490,Beechwood DP,36.62635991,-78.19166045,BEECHDP
99,Belle Haven Diesel Generation Facility,37.54846186,-75.79083453,BELLEHAV
401,Bellwood,37.41737781,-77.43269174,BELLWOOD
58,Belvoir,38.74144607,-77.13447072,BELVOIR
262,Benns Church,36.913018,-76.5758493,BENNSCH
381,Bent Mountain,37.1783679,-80.11946681,BENTMOUN
154,Blaine,37.05067776,-79.86572137,BLAINE
572,Stonewall Energy Center,39.05800492,-77.54045958,BLMNTDOM
464,Bloxoms Corner,37.0607401,-76.30026435,BLOXOMSC
151,Blue Ridge,37.38548831,-79.79839529,BLUE RIDGE
157,Bonsack,37.33308427,-79.87011864,BONSACK
182,Boonsboro,37.43295365,-79.22913219,BOONSBOR
304,Boxwood,37.59345529,-79.03242541,BOXWOOD
501,Boykins,36.6004468,-77.19368156,BOYKINS
343,Braddock,38.8218653,-77.22356114,BRADDOCK
124,Brambleton,38.96355793,-77.5490421,BRAMBLET
40,Bremo Bluff,37.70973174,-78.28844858,BREMO4
144,Bristers,38.56312074,-77.59554124,BRISTERS
555,Broadford (765 kV),36.92167698,-81.67964533,BROADFORD
494,Brodnax,36.73435143,-78.01111496,BRODNAX
185,Brookville,37.37363957,-79.20443788,BROOKVI2
495,Brunswick,36.74140082,-77.92115071,BRUNSWICK
181,Brush Tavern,37.32299812,-79.25871096,BRUSHTAV
16,Buchanan Generation LLC,37.17548412,-81.96105499,BUCHANCO
78,Buck Hydro,36.80809818,-80.93872682,BUCK
8,Buckhorn,37.13548877,-81.49585152,BUCKHORN
85,Buena Vista,37.73222872,-79.35673672,BUENAVST
