substation_name,latitude,longitude,pnode_match,pnode_id,type
Abingdon,36.72004621,-82.00796658,ABINGDON,32410481,LOAD
Abingdon,36.72004621,-82.00796658,ABINGDON,32410483,LOAD
Abingdon,36.72004621,-82.00796658,ABINGDON,45565837,LOAD
Acca,37.57993938,-77.47755036,ACCA,34885183,LOAD
Acca,37.57993938,-77.47755036,ACCA,34885185,LOAD
Acca,37.57993938,-77.47755036,ACCA,34885187,LOAD
Acca,37.57993938,-77.47755036,ACCA,34885189,LOAD
Acca,37.57993938,-77.47755036,ACCA,34885191,LOAD
VMEA Peaking Gen,38.73998268,-77.50915689,AIRPORT,1248985238,LOAD
Alpine,37.33627018,-77.28109658,ALLIED,34885193,LOAD
Alpine,37.33627018,-77.28109658,ALLIED,34885195,LOAD
Alpine,37.33627018,-77.28109658,ALLIED,34885197,LOAD
Philip Morris,37.34223674,-77.28516339,ALPINE,34885199,LOAD
Philip Morris,37.34223674,-77.28516339,ALPINE,34885201,LOAD
Philip Morris,37.34223674,-77.28516339,ALPINE,34885203,LOAD
Altavista,37.13006373,-79.27844264,ALTAVSTA,1356153835,LOAD
Alum Ridge,36.97539425,-80.39842021,ALUMRIDG,32410515,LOAD
Alum Ridge,36.97539425,-80.39842021,ALUMRIDG,2156118741,LOAD
Annandale,38.82350648,-77.1690137,ANNANDAL,34886121,LOAD
Annandale,38.82350648,-77.1690137,ANNANDAL,34886123,LOAD
Aquia Harbor,38.45115318,-77.38765809,AQUIA,48934095,LOAD
Arcola,38.8966549,-77.5698336,ARCOLA,1123172660,LOAD
Arcola,38.8966549,-77.5698336,ARCOLA,1123172661,LOAD
Arlington,38.84769082,-77.09782624,ARLINGTN,34886127,LOAD
Arlington,38.84769082,-77.09782624,ARLINGTN,34886129,LOAD
Arlington,38.84769082,-77.09782624,ARLINGTN,34886131,LOAD
Arlington,38.84769082,-77.09782624,ARLINGTN,34886133,LOAD
Comorn Dp,38.27994231,-77.20435371,ARNOLDCR,34886135,LOAD
Comorn Dp,38.27994231,-77.20435371,ARNOLDCR,34886137,LOAD
Comorn Dp,38.27994231,-77.20435371,ARNOLDCR,83734429,GEN
Ashburn,39.05139227,-77.49837049,ASHBURN,34886139,LOAD
Ashburn,39.05139227,-77.49837049,ASHBURN,34886141,LOAD
Axton,36.63455031,-79.7047789,AXTON,34509177,EHV
Ballston,38.88498274,-77.0984868,BALSTON,63381281,LOAD
Banister,36.75052076,-79.40617252,BANISTE4,34885209,LOAD
Barracks Road,38.07163454,-78.53051158,BARRCKRD,34886663,LOAD
Barracks Road,38.07163454,-78.53051158,BARRCKRD,34886665,LOAD
West Winchester,39.12957187,-78.20752686,BARTONVI,5021066,LOAD
West Winchester,39.12957187,-78.20752686,BARTONVI,5021067,LOAD
West Winchester,39.12957187,-78.20752686,BARTONVI,1292903327,LOAD
West Winchester,39.12957187,-78.20752686,BARTONVI,1292915420,GEN
Basin,37.49209701,-77.43067209,BASIN,34885213,LOAD
Basin,37.49209701,-77.43067209,BASIN,34885215,LOAD
Basin,37.49209701,-77.43067209,BASIN,34885217,LOAD
Battery Heights DP,38.75276319,-77.4577185,BATERYHT,34886143,LOAD
Bath County,38.20908631,-79.80018441,BATH COUNTY,35010375,EHV
Bayview,37.27162161,-75.96784376,BAYVIEW,292885,AGGREGATE
Bear Island DP,37.83706572,-77.36238895,BEAR DPL,41935397,LOAD
Bear Island DP,37.83706572,-77.36238895,BEAR DPL,47012197,LOAD
Bear Island DP,37.83706572,-77.36238895,BEAR DPL,47012199,LOAD
Bear Garden,37.69708966,-78.28432132,BEAR GARDEN CC,107485047,AGGREGATE
Beaumeade,39.02615843,-77.4564009,BEAUMEAD,34886145,LOAD
Beaumeade,39.02615843,-77.4564009,BEAUMEAD,34886147,LOAD
Beaumeade,39.02615843,-77.4564009,BEAUMEAD,45565881,LOAD
Beaumeade,39.02615843,-77.4564009,BEAUMEAD,2156118955,LOAD
Beaumeade,39.02615843,-77.4564009,BEAUMEAD,2156119644,LOAD
