Name,HIFLD_Name,HIFLD_ID,city,City_Prop,zip,type,Type_Prop,status,Stat_Prop,county,Count_Prop,countyfips,StateShort,StateFull,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,lines,LineTxt,max_volt,CurrentMax,min_volt,CurrentMin,max_infer,min_infer,MinVoltCat
Tap147165,TAP147165,147165,CLARKSVILLE,Clarksville,23927,TAP,Tap,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.62618629,-78.564268384,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-14,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Unknown114494,UNKNOWN114494,114494,CLARKSVILLE,Clarksville,23927,SUBSTATION,Substation,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.626238638,-78.564608647,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-14,IMAGERY,2014-07-14,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Omega DP,OMEGA DP,147384,SOUTH BOSTON,South Boston,24592,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.670500935,-78.811333785,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-11,IMAGERY,2015-04-01,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Tap147393,TAP147393,147393,SOUTH BOSTON,South Boston,24592,TAP,Tap,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.67076887,-78.811232562,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-11,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Welco,WELCO,146907,SOUTH BOSTON,South Boston,24592,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.671965591,-78.920093351,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-11,IMAGERY,2015-04-01,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Reedy Creek,REEDY CREEK,146906,SOUTH BOSTON,South Boston,24592,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.697712986,-78.876414423,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-11,IMAGERY,2015-04-01,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Tap161761,TAP161761,161761,SOUTH BOSTON,South Boston,24592,TAP,Tap,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.697825267,-78.914631263,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-03-22,IMAGERY,2019-03-22,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Halifax County Biomass,HALIFAX COUNTY BIOMASS,161760,SOUTH BOSTON,South Boston,24592,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.698352857,-78.876534061,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2019-03-22,IMAGERY,2021-06-01,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
South Boston,SOUTH BOSTON,146905,SOUTH BOSTON,South Boston,24592,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.700295146,-78.91301087,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-11,IMAGERY,2015-04-01,2.0,2,115.0,115,115.0,115,Y,Y,115 to 229
Unknown171698,UNKNOWN171698,171698,SCOTTSBURG,Scottsburg,24589,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.738168696,-78.735205102,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020-03-31,IMAGERY,2020-03-31,1.0,1,-999999.0,Unknown,-999999.0,Unknown,N,N,Unknown
Unknown114502,UNKNOWN114502,114502,BOYDTON,Boydton,23917,SUBSTATION,Substation,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.680828587,-78.376558582,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-15,IMAGERY,2014-07-15,2.0,2,115.0,115,115.0,115,Y,Y,115 to 229
Unknown114506,UNKNOWN114506,114506,BOYDTON,Boydton,23917,SUBSTATION,Substation,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.683459619,-78.351554196,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-15,IMAGERY,2014-07-15,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Tap147997,TAP147997,147997,BOYDTON,Boydton,23917,TAP,Tap,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.68550598,-78.350066745,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-15,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Tap147164,TAP147164,147164,SKIPWITH,Skipwith,23968,TAP,Tap,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.726550243,-78.538203298,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-14,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Unknown114493,UNKNOWN114493,114493,SKIPWITH,Skipwith,23968,SUBSTATION,Substation,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.727700065,-78.539270084,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-14,IMAGERY,2014-07-14,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Tap147994,TAP147994,147994,CHASE CITY,Chase City,23924,TAP,Tap,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.806692512,-78.509216536,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-14,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Sinai,SINAI,146903,SOUTH BOSTON,South Boston,24592,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.743050676,-78.929849666,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-14,IMAGERY,2015-04-01,2.0,2,115.0,115,115.0,115,Y,Y,115 to 229
Halifax,HALIFAX,146904,HALIFAX,Halifax,24558,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.780692871,-78.923820817,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-11,IMAGERY,2015-04-01,6.0,6,230.0,230,115.0,115,N,Y,115 to 229
Unknown161759,UNKNOWN161759,161759,HALIFAX,Halifax,24558,SUBSTATION,Substation,UNDER CONSTRUCTION,Under construction,HALIFAX,Halifax,51083,VA,Virginia,USA,36.784070036,-78.924293795,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-03-22,IMAGERY,2019-03-22,-999999.0,Unknown,-999999.0,Unknown,-999999.0,Unknown,N,N,Unknown
Barnes Junction,BARNES JUNCTION,147159,RED OAK,Red Oak,23964,SUBSTATION,Substation,IN SERVICE,In service,CHARLOTTE,Charlotte,51037,VA,Virginia,USA,36.80958247,-78.600014532,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-14,IMAGERY,2015-04-01,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Tap147171,TAP147171,147171,RED OAK,Red Oak,23964,TAP,Tap,IN SERVICE,In service,CHARLOTTE,Charlotte,51037,VA,Virginia,USA,36.810194846,-78.599836741,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-15,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Riser171699,RISER171699,171699,CLOVER,Clover,24534,RISER,Riser,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.819106,-78.733964,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020-03-31,IMAGERY,2020-03-31,1.0,1,-999999.0,Unknown,-999999.0,Unknown,N,N,Unknown
Dryburg,DRYBURG,147383,CLOVER,Clover,24534,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.820047042,-78.736009766,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-11,IMAGERY,2015-04-01,2.0,2,115.0,115,115.0,115,Y,Y,115 to 229
Tap146924,TAP146924,146924,BATON ROUGE,Baton Rouge,70814,TAP,Tap,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.825266477,-78.93524944,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-11,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Unknown114630,UNKNOWN114630,114630,JAVA,Java,24565,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.832121153,-78.925115949,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-11,IMAGERY,2014-07-11,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Tap146923,TAP146923,146923,CRYSTAL HILL,Crystal Hill,24539,TAP,Tap,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.840970125,-78.939111521,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-11,IMAGERY/OTHER,2015-08-14,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Banister,BANISTER,147633,DRY FORK,Dry Fork,24549,SUBSTATION,Substation,IN SERVICE,In service,PITTSYLVANIA,Pittsylvania,51143,VA,Virginia,USA,36.750520755,-79.406172518,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-11,IMAGERY,2015-04-01,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229
Unknown114631,UNKNOWN114631,114631,JAVA,Java,24565,SUBSTATION,Substation,IN SERVICE,In service,PITTSYLVANIA,Pittsylvania,51143,VA,Virginia,USA,36.811815517,-79.260024224,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-11,IMAGERY,2014-07-11,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Chatham,CHATHAM,147634,CHATHAM,Chatham,24531,SUBSTATION,Substation,IN SERVICE,In service,PITTSYLVANIA,Pittsylvania,51143,VA,Virginia,USA,36.849476047,-79.387635293,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-11,IMAGERY,2015-04-01,1.0,1,115.0,115,115.0,115,N,N,115 to 229
Tap147654,TAP147654,147654,CHATHAM,Chatham,24531,TAP,Tap,IN SERVICE,In service,PITTSYLVANIA,Pittsylvania,51143,VA,Virginia,USA,36.852721007,-79.388045497,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016-01-06,IMAGERY,2016-01-06,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Tap147653,TAP147653,147653,CHATHAM,Chatham,24531,TAP,Tap,IN SERVICE,In service,PITTSYLVANIA,Pittsylvania,51143,VA,Virginia,USA,36.853462754,-79.388194439,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2016-01-06,IMAGERY,2016-01-06,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229
Unknown171700,UNKNOWN171700,171700,NATHALIE,Nathalie,24577,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.92863732,-79.101639016,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2020-03-31,IMAGERY,2020-03-31,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Unknown114629,UNKNOWN114629,114629,CRYSTAL HILL,Crystal Hill,24539,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.841107624,-78.938498046,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-11,IMAGERY,2014-07-11,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
Clover,CLOVER,147385,RANDOLPH,Randolph,23962,SUBSTATION,Substation,IN SERVICE,In service,HALIFAX,Halifax,51083,VA,Virginia,USA,36.866211432,-78.70654368,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/system-map/default.html",2014-07-11,IMAGERY,2015-04-01,6.0,6,500.0,500,230.0,230,N,Y,Min 230
Unknown114499,UNKNOWN114499,114499,DRAKES BRANCH,Drakes Branch,23937,SUBSTATION,Substation,IN SERVICE,In service,CHARLOTTE,Charlotte,51037,VA,Virginia,USA,36.990320862,-78.580938407,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-15,IMAGERY,2014-07-15,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229
