pnode_id,pnode_name,pnode_type,pnode_subtype,zone,voltage_level,effective_date,termination_date
32418803,CAYUGA2 345 KV  CAY2,BUS,EXT,DOM,345 KV,2003-12-09T00:00:00,2017-06-02T00:00:00
34884747,TILLERY 115 KV  4_TOPOLO,BUS,EXT,DOM,115 KV,2004-09-15T00:00:00,2017-06-02T00:00:00
34885205,ALTAVSTA13 KV   TX2TLOAD,BUS,LOAD,DOM,13 KV,2005-05-01T00:00:00,2017-06-02T00:00:00
34885227,BLBRANDP69 KV   TX1,BUS,LOAD,DOM,69 KV,2005-05-01T00:00:00,2012-06-13T00:00:00
34885239,CARSON4 35 KV   TX1TLOAD,BUS,LOAD,DOM,35 KV,2005-05-01T00:00:00,2011-05-25T00:00:00
34885241,CARTRFAB115 KV  TX2,BUS,LOAD,DOM,115 KV,2005-05-01T00:00:00,2017-06-02T00:00:00
34885263,CHATHAM413 KV   TX1,BUS,LOAD,DOM,13 KV,2005-05-01T00:00:00,2012-10-10T00:00:00
34885267,CHESTER42 KV    SS3,BUS,LOAD,DOM,2 KV,2005-05-01T00:00:00,2026-03-11T00:00:00
34885271,CHESTER44 KV    RS6B,BUS,LOAD,DOM,4 KV,2005-05-01T00:00:00,2026-03-11T00:00:00
34885273,CHESTER44 KV    RSS1,BUS,LOAD,DOM,4 KV,2005-05-01T00:00:00,2026-03-11T00:00:00
34885275,CHESTER44 KV    RSS4,BUS,LOAD,DOM,4 KV,2005-05-01T00:00:00,2026-03-11T00:00:00
34885281,CHESTER44 KV    SS4,BUS,LOAD,DOM,4 KV,2005-05-01T00:00:00,2026-03-11T00:00:00
34885283,CHESTER44 KV    SS5,BUS,LOAD,DOM,4 KV,2005-05-01T00:00:00,2026-03-11T00:00:00
34885285,CHESTER44 KV    SS6,BUS,LOAD,DOM,4 KV,2005-05-01T00:00:00,2026-03-11T00:00:00
34885287,CHESTER44 KV    SS7,BUS,LOAD,DOM,4 KV,2005-05-01T00:00:00,2026-03-11T00:00:00
34885289,CHESTER44 KV    SS8,BUS,LOAD,DOM,4 KV,2005-05-01T00:00:00,2026-03-11T00:00:00
