pnode_name,substation,latitude,longitude,county,zone,pnode_id
OAKWOOD,OAKWOOD,36.90978868,-76.237334501,NORFOLK,DOM,34885949
OAKWOOD,OAKWOOD,36.90978868,-76.237334501,NORFOLK,DOM,34885951
OAKWOOD,OAKWOOD,36.90978868,-76.237334501,NORFOLK,DOM,34885953
OAKWOOD,OAKWOOD,36.90978868,-76.237334501,NORFOLK,DOM,34885955
OAKWOOD,OAKWOOD,36.90978868,-76.237334501,NORFOLK,DOM,34885957
TOANO,TOANO,37.363241299,-76.804877491,JAMES CITY,DOM,34886055
TOANO,TOANO,37.363241299,-76.804877491,JAMES CITY,DOM,34886057
VERONA,VERONA,38.189896805,-78.985809182,AUGUSTA,DOM,34886895
VERONA,VERONA,38.189896805,-78.985809182,AUGUSTA,DOM,34886897
DOOMS,DOOMS,38.107034569,-78.849097178,AUGUSTA,DOM,35010379
HAYES,HAYES,37.279203133,-76.494808106,GLOUCESTER,DOM,34885405
HAYES,HAYES,37.279203133,-76.494808106,GLOUCESTER,DOM,34885407
CROZET,CROZET,38.084710389,-78.698540228,ALBEMARLE,DOM,34886713
CROZET,CROZET,38.084710389,-78.698540228,ALBEMARLE,DOM,45565889
MORRISVILLE,MORRISVILLE,38.501087918,-77.708788736,FAUQUIER,DOM,35010367
WELCO,WELCO,36.671965591,-78.920093351,HALIFAX,DOM,34885727
WELCO,WELCO,36.671965591,-78.920093351,HALIFAX,DOM,2156112849
WELCO,WELCO,36.671965591,-78.920093351,HALIFAX,DOM,2156114075
OX,OX,38.723786053,-77.288516761,FAIRFAX,DOM,35010369
POSSUM POINT,POSSUM POINT,38.537413602,-77.281179286,PRINCE WILLIAM,DOM,35010373
MIDLOTHIAN,MIDLOTHIAN,37.502583518,-77.704051734,CHESTERFIELD,DOM,35010347
SEPTA,SEPTA,37.014743969,-76.738663483,ISLE OF WIGHT,DOM,35010353
OCCOQUAN,OCCOQUAN,38.713156353,-77.269063766,FAIRFAX,DOM,34886337
OCCOQUAN,OCCOQUAN,38.713156353,-77.269063766,FAIRFAX,DOM,34886339
OCCOQUAN,OCCOQUAN,38.713156353,-77.269063766,FAIRFAX,DOM,119118225
OCCOQUAN,OCCOQUAN,38.713156353,-77.269063766,FAIRFAX,DOM,1097733899
MAGRUDER,MAGRUDER,37.057990657,-76.401079916,HAMPTON,DOM,34885921
MAGRUDER,MAGRUDER,37.057990657,-76.401079916,HAMPTON,DOM,34885923
MAGRUDER,MAGRUDER,37.057990657,-76.401079916,HAMPTON,DOM,34885925
WARWICK,WARWICK,37.083435139,-76.460336978,NEWPORT NEWS,DOM,34886083
WARWICK,WARWICK,37.083435139,-76.460336978,NEWPORT NEWS,DOM,34886085
WARWICK,WARWICK,37.083435139,-76.460336978,NEWPORT NEWS,DOM,34886087
WARWICK,WARWICK,37.083435139,-76.460336978,NEWPORT NEWS,DOM,34886089
REYMET,REYMET,37.388965849,-77.407476157,CHESTERFIELD,DOM,34885625
SHERWOOD,SHERWOOD,38.021261642,-78.525988487,ALBEMARLE,DOM,34886867
SHERWOOD,SHERWOOD,38.021261642,-78.525988487,ALBEMARLE,DOM,34886869
CUNNINGHAM,CUNNINGHAM,37.868649657,-78.37414532,FLUVANNA,DOM,35010377
LANEXA,LANEXA,37.420166938,-76.91198959,NEW KENT,DOM,34885899
BOYKINS,BOYKINS,36.600446803,-77.193681556,SOUTHAMPTON,DOM,34885765
BURTON,BURTON,36.90759809,-76.172973051,VIRGINIA BEACH,DOM,34885767
BURTON,BURTON,36.90759809,-76.172973051,VIRGINIA BEACH,DOM,1218906760
TYSONS,TYSONS,38.932028209,-77.236891321,FAIRFAX,DOM,34886435
TYSONS,TYSONS,38.932028209,-77.236891321,FAIRFAX,DOM,34886437
TYSONS,TYSONS,38.932028209,-77.236891321,FAIRFAX,DOM,34886439
TYSONS,TYSONS,38.932028209,-77.236891321,FAIRFAX,DOM,34886441
TYSONS,TYSONS,38.932028209,-77.236891321,FAIRFAX,DOM,2156112264
KEVLAR,KEVLAR,37.450055055,-77.437489993,CHESTERFIELD,DOM,34885459
KEVLAR,KEVLAR,37.450055055,-77.437489993,CHESTERFIELD,DOM,34885461
GROTTOES,GROTTOES,38.266069084,-78.812819282,ROCKINGHAM,DOM,34886779
GROTTOES,GROTTOES,38.266069084,-78.812819282,ROCKINGHAM,DOM,2156113357
WALTHALL,WALTHALL,37.30339617,-77.399168633,CHESTERFIELD,DOM,34885709
WALTHALL,WALTHALL,37.30339617,-77.399168633,CHESTERFIELD,DOM,45565877
WALTHALL,WALTHALL,37.30339617,-77.399168633,CHESTERFIELD,DOM,1183224483
VALLEY,VALLEY,38.314341598,-78.970810618,AUGUSTA,DOM,35010387
BELVOIR,BELVOIR,38.741446067,-77.134470716,FAIRFAX,DOM,34886149
BELVOIR,BELVOIR,38.741446067,-77.134470716,FAIRFAX,DOM,34886151
RURITAN,RURITAN,36.81938786,-76.258256741,CHESAPEAKE,DOM,34885983
THALIA,THALIA,36.839510157,-76.134445386,VIRGINIA BEACH,DOM,34886037
THALIA,THALIA,36.839510157,-76.134445386,VIRGINIA BEACH,DOM,34886039
SIDEBURN,SIDEBURN,38.798230703,-77.296379194,FAIRFAX,DOM,34886405
SIDEBURN,SIDEBURN,38.798230703,-77.296379194,FAIRFAX,DOM,1097727061
BRADDOCK,BRADDOCK,38.821865297,-77.223561139,FAIRFAX,DOM,34886155
BRADDOCK,BRADDOCK,38.821865297,-77.223561139,FAIRFAX,DOM,34886157
BRADDOCK,BRADDOCK,38.821865297,-77.223561139,FAIRFAX,DOM,2156113762
PIPELINE,PIPELINE,37.521676307,-77.425952703,RICHMOND,DOM,34885597
POE,POE,37.199953711,-77.359091153,PETERSBURG,DOM,34885607
POE,POE,37.199953711,-77.359091153,PETERSBURG,DOM,34885609
MYRTLE,MYRTLE,36.771300213,-76.696651601,SUFFOLK,DOM,34885933
BELLWOOD,BELLWOOD,37.417377806,-77.432691735,CHESTERFIELD,DOM,34885223
BELLWOOD,BELLWOOD,37.417377806,-77.432691735,CHESTERFIELD,DOM,34885225
SUFFOLK,SUFFOLK,36.7103221,-76.580468869,SUFFOLK,DOM,38367911
SUFFOLK,SUFFOLK,36.7103221,-76.580468869,SUFFOLK,DOM,135389821
SUFFOLK,SUFFOLK,36.7103221,-76.580468869,SUFFOLK,DOM,1183224660
SUFFOLK,SUFFOLK,36.7103221,-76.580468869,SUFFOLK,DOM,1356178189
SUFFOLK,SUFFOLK,36.7103221,-76.580468869,SUFFOLK,DOM,2156112379
SUFFOLK,SUFFOLK,36.7103221,-76.580468869,SUFFOLK,DOM,2156112827
YADKIN,YADKIN,36.762979041,-76.354714758,CHESAPEAKE,DOM,35010357
GLEBE,GLEBE,38.841647684,-77.054615944,ARLINGTON,DOM,34886267
GLEBE,GLEBE,38.841647684,-77.054615944,ARLINGTON,DOM,34886269
THRASHER,THRASHER,36.759262396,-76.240168878,CHESAPEAKE,DOM,34886051
THRASHER,THRASHER,36.759262396,-76.240168878,CHESAPEAKE,DOM,34886053
THRASHER,THRASHER,36.759262396,-76.240168878,CHESAPEAKE,DOM,67719585
FENTRESS,FENTRESS,36.690454157,-76.190028667,CHESAPEAKE,DOM,35010351
HICKORY,HICKORY,36.643647923,-76.236917943,CHESAPEAKE,DOM,34885869
HICKORY,HICKORY,36.643647923,-76.236917943,CHESAPEAKE,DOM,1369002657
MARLBORO,MARLBORO,37.474006706,-77.434895242,RICHMOND,DOM,34885505
MARLBORO,MARLBORO,37.474006706,-77.434895242,RICHMOND,DOM,34885507
QUANTICO,QUANTICO,38.516354375,-77.303714616,PRINCE WILLIAM,DOM,34886377
QUANTICO,QUANTICO,38.516354375,-77.303714616,PRINCE WILLIAM,DOM,34886379
BASIN,BASIN,37.492097009,-77.430672086,RICHMOND,DOM,34885213
BASIN,BASIN,37.492097009,-77.430672086,RICHMOND,DOM,34885215
BASIN,BASIN,37.492097009,-77.430672086,RICHMOND,DOM,34885217
DAYTON,DAYTON,38.409840165,-78.928152147,ROCKINGHAM,DOM,34886725
DAYTON,DAYTON,38.409840165,-78.928152147,ROCKINGHAM,DOM,34886727
SHOCKOE,SHOCKOE,37.552801438,-77.427624359,RICHMOND,DOM,34885643
SHOCKOE,SHOCKOE,37.552801438,-77.427624359,RICHMOND,DOM,34885645
SHOCKOE,SHOCKOE,37.552801438,-77.427624359,RICHMOND,DOM,34885647
SHOCKOE,SHOCKOE,37.552801438,-77.427624359,RICHMOND,DOM,34885649
CARVER,CARVER,37.555732349,-77.448358854,RICHMOND,DOM,34885243
CARVER,CARVER,37.555732349,-77.448358854,RICHMOND,DOM,34885245
CARVER,CARVER,37.555732349,-77.448358854,RICHMOND,DOM,34885247
CARVER,CARVER,37.555732349,-77.448358854,RICHMOND,DOM,34885249
HUNTER,HUNTER,38.948119671,-77.328363929,FAIRFAX,DOM,34886287
HUNTER,HUNTER,38.948119671,-77.328363929,FAIRFAX,DOM,34886289
GOSPORT,GOSPORT,36.794827018,-76.312072379,CHESAPEAKE,DOM,34885845
GOSPORT,GOSPORT,36.794827018,-76.312072379,CHESAPEAKE,DOM,34885847
GOSPORT,GOSPORT,36.794827018,-76.312072379,CHESAPEAKE,DOM,45565917
LEXINGTON,LEXINGTON,37.867651029,-79.420419022,ROCKBRIDGE,DOM,35010383
LOCKS,LOCKS,37.221976994,-77.443564579,PETERSBURG,DOM,34885489
LOCKS,LOCKS,37.221976994,-77.443564579,PETERSBURG,DOM,34885491
LOCKS,LOCKS,37.221976994,-77.443564579,PETERSBURG,DOM,34885493
LOCKS,LOCKS,37.221976994,-77.443564579,PETERSBURG,DOM,1268563568
ARCOLA,ARCOLA,38.896654899,-77.5698336,LOUDOUN,DOM,1123172660
ARCOLA,ARCOLA,38.896654899,-77.5698336,LOUDOUN,DOM,1123172661
SAPONY,SAPONY,36.944781741,-77.47668023,SUSSEX,DOM,34885637
