Field,Description
Name,"Original feature name field edited to convert capitalization to title case, spell out abbreviations, and make other edits. Field added by Horizon Climate Group."
HIFLD_Name,Original feature name
HIFLD_ID,"Unique ID for each feature. ID values are unique to this dataset ONLY and may have changed from the previous versions of the dataset, and/or change in a future version of the dataset."
city,City name
City_Prop,City field edited to convert capitalization to title case. Field added by Horizon Climate Group.
zip,Zip Code (5 digit); Postal Code (Canada; 6-digit).
type,"Specific categorical breakdown for the feature. (Dead end, riser, substation, tap, not available)"
Type_Prop,Type field edited to convert capitalization to title case. Field added by Horizon Climate Group.
status,"Operational status of the feature. (In service, inactive, proposed, under const, not available)"
Stat_Prop,Status field edited to convert capitalization to title case. Field added by Horizon Climate Group.
county,"United States and its Territories county name and legal/statistical area description (county, borough, parish, municipality, census area); Canada (province, territory)"
Count_Prop,County field edited to convert capitalization to title case. Field added by Horizon Climate Group.
countyfips,US County Federal Information Processing Standards (FIPS) Code (5 digit); Canada Standard Geographical Classification (SGC) Code (7 digit)
StateShort,State abbreviation (United States and its Territories); Province abbreviation (Canada
StateFull,State (full name). Field added by Horizon Climate Group.
country,Country Code (3 character).
latitude,Latitude
longitude,Longitude
naics_code,"The North American Industry Classification System (NAICS) code is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy."
naics_desc,"The North American Industry Classification System (NAICS) definition is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy."
source,Original source used to identify geospatial location and/or attribution for the feature. Frequently used sources include ESRI's World Imagery Service.
sourcedate,"Date of the source, or, if not available, the date the originator accessed the source."
val_method,Methodology used to validate geospatial location of the feature.
val_date,Date when geospatial location was last validated for the feature.
lines,Number of transmission lines that are linked to the substation.
LineTxt,Line field converted to string. Field added by Horizon Climate Group.
max_volt,Maximum voltage of all Transmission Lines that feed into the substation
CurrentMax,Max_volt field converted to string. Field added by Horizon Climate Group.
min_volt,Minimum voltage of all Transmission Lines that feed into the substation
CurrentMin,Min_volt field converted to string. Field added by Horizon Climate Group.
max_infer,Indicates whether or not MAX_VOLT was inferred using one of the methods outlined in the Process Description.
min_infer,Indicates whether or not MIN_VOLT was inferred using one of the methods outlined in the Process Description.
MinVoltCat,Additional voltage categorization. Field added by Horizon Climate Group.
