Datacenter URL,Country,City,Datacenter Name
https://www.datacentermap.com/italy/castel-san-pietro-terme/00gate/,italy,castel-san-pietro-terme,00gate
https://www.datacentermap.com/portugal/barreiro/100limite/,portugal,barreiro,100limite
https://www.datacentermap.com/france/paris/14-rue-de-lorme-moineaux-par13/,france,paris,14-rue-de-lorme-moineaux-par13
https://www.datacentermap.com/france/paris/14-rue-de-lorme-moineaux-par14/,france,paris,14-rue-de-lorme-moineaux-par14
https://www.datacentermap.com/france/paris/16-joseph-froelicher-par12/,france,paris,16-joseph-froelicher-par12
https://www.datacentermap.com/france/paris/16-rue-grange-dame-rose /,france,paris,16-rue-grange-dame-rose 
https://www.datacentermap.com/romania/brasov/20xhost/,romania,brasov,20xhost
https://www.datacentermap.com/spain/barcelona/22at/,spain,barcelona,22at
https://www.datacentermap.com/france/paris/2-marcel-cachin-par10/,france,paris,2-marcel-cachin-par10
https://www.datacentermap.com/france/paris/2-marcel-cachin-par11/,france,paris,2-marcel-cachin-par11
https://www.datacentermap.com/france/paris/2-marcel-cachin-par8/,france,paris,2-marcel-cachin-par8
https://www.datacentermap.com/sweden/lund/31173-services-dc-lund-mobilvagen/,sweden,lund,31173-services-dc-lund-mobilvagen
https://www.datacentermap.com/sweden/malmo/31173-services-dc-malmo-scheelegatan/,sweden,malmo,31173-services-dc-malmo-scheelegatan
https://www.datacentermap.com/italy/milan/32-38-via-kuliscioff/,italy,milan,32-38-via-kuliscioff
https://www.datacentermap.com/bulgaria/sofia/3dc/,bulgaria,sofia,3dc
https://www.datacentermap.com/finland/mikkeli/3etech-mikkeli/,finland,mikkeli,3etech-mikkeli
https://www.datacentermap.com/france/paris/3-marcel-cachin-par9/,france,paris,3-marcel-cachin-par9
https://www.datacentermap.com/poland/bytom/3s-dc-bytom/,poland,bytom,3s-dc-bytom
https://www.datacentermap.com/poland/gdansk/3s-dc-gdansk/,poland,gdansk,3s-dc-gdansk
https://www.datacentermap.com/poland/katowice/3s-dc-katowice/,poland,katowice,3s-dc-katowice
https://www.datacentermap.com/poland/krakow/3s-dc-krakow/,poland,krakow,3s-dc-krakow
https://www.datacentermap.com/poland/warsaw/3s-dc-warszawa/,poland,warsaw,3s-dc-warszawa
https://www.datacentermap.com/poland/katowice/3services-factory-data-center/,poland,katowice,3services-factory-data-center
https://www.datacentermap.com/germany/hannover/3u-telecom-hannover/,germany,hannover,3u-telecom-hannover
https://www.datacentermap.com/poland/katowice/4datacenter/,poland,katowice,4datacenter
https://www.datacentermap.com/poland/katowice/4datacenter-dc2/,poland,katowice,4datacenter-dc2
https://www.datacentermap.com/poland/katowice/4datacenter-dc3/,poland,katowice,4datacenter-dc3
https://www.datacentermap.com/france/paris/55-champs-pierreux/,france,paris,55-champs-pierreux
https://www.datacentermap.com/austria/vienna/a1-next-generation-data-center/,austria,vienna,a1-next-generation-data-center
https://www.datacentermap.com/austria/vienna/a1-vienna/,austria,vienna,a1-vienna
https://www.datacentermap.com/croatia/zagreb/a1-zagreb-data-center/,croatia,zagreb,a1-zagreb-data-center
https://www.datacentermap.com/germany/aachen/aachen-1/,germany,aachen,aachen-1
https://www.datacentermap.com/bulgaria/varna/abscloud-data-center/,bulgaria,varna,abscloud-data-center
https://www.datacentermap.com/spain/alicante/abserver-datacenter1/,spain,alicante,abserver-datacenter1
https://www.datacentermap.com/germany/frankfurt/accelerated-it-services/,germany,frankfurt,accelerated-it-services
https://www.datacentermap.com/spain/madrid/acens/,spain,madrid,acens
https://www.datacentermap.com/spain/barcelona/acens-barcelona/,spain,barcelona,acens-barcelona
https://www.datacentermap.com/spain/barcelona/acer-30-32/,spain,barcelona,acer-30-32
https://www.datacentermap.com/greece/athens/acharnon-data-center/,greece,athens,acharnon-data-center
https://www.datacentermap.com/italy/rome/aci-informatica-data-center/,italy,rome,aci-informatica-data-center
https://www.datacentermap.com/spain/barcelona/ack-dc-1/,spain,barcelona,ack-dc-1
https://www.datacentermap.com/spain/zaragoza/acs-la-puebla-de-alfinden/,spain,zaragoza,acs-la-puebla-de-alfinden
https://www.datacentermap.com/france/annecy/acy01/,france,annecy,acy01
https://www.datacentermap.com/spain/barcelona/adam-bcn3/,spain,barcelona,adam-bcn3
https://www.datacentermap.com/spain/madrid/adam-madrid-tecnoalcal/,spain,madrid,adam-madrid-tecnoalcal
https://www.datacentermap.com/spain/barcelona/adam-ptv/,spain,barcelona,adam-ptv
https://www.datacentermap.com/czech-republic/zlin/adaptivity-data-center/,czech-republic,zlin,adaptivity-data-center
https://www.datacentermap.com/germany/kiel/addix-dc2/,germany,kiel,addix-dc2
https://www.datacentermap.com/denmark/copenhagen/adeodc/,denmark,copenhagen,adeodc
https://www.datacentermap.com/poland/warsaw/adgar-park-west/,poland,warsaw,adgar-park-west
https://www.datacentermap.com/belgium/antwerp/adgar-plantin/,belgium,antwerp,adgar-plantin
https://www.datacentermap.com/poland/warsaw/adgar-plaza/,poland,warsaw,adgar-plaza
https://www.datacentermap.com/spain/bilbao/adi-data-center-euskadi/,spain,bilbao,adi-data-center-euskadi
https://www.datacentermap.com/spain/bilbao/adi-data-center-garaia/,spain,bilbao,adi-data-center-garaia
https://www.datacentermap.com/france/bourges/adista-bourges/,france,bourges,adista-bourges
https://www.datacentermap.com/france/toulouse/adista-labege/,france,toulouse,adista-labege
https://www.datacentermap.com/france/toulouse/adista-pamiers/,france,toulouse,adista-pamiers
https://www.datacentermap.com/france/valence/adista-romans-sur-isere/,france,valence,adista-romans-sur-isere
https://www.datacentermap.com/france/saint-etienne/adista-saint-etienne/,france,saint-etienne,adista-saint-etienne
https://www.datacentermap.com/romania/cluj-napoca/adnet-cluj-napoca/,romania,cluj-napoca,adnet-cluj-napoca
https://www.datacentermap.com/romania/bucharest/adnet-datacity/,romania,bucharest,adnet-datacity
https://www.datacentermap.com/italy/bari/adriatic-dc-bari/,italy,bari,adriatic-dc-bari
https://www.datacentermap.com/france/paris/advalem-france/,france,paris,advalem-france
https://www.datacentermap.com/sweden/stockholm/advania-stockholm1/,sweden,stockholm,advania-stockholm1
https://www.datacentermap.com/sweden/boden/aelg-turis/,sweden,boden,aelg-turis
https://www.datacentermap.com/denmark/copenhagen/aeven-ba1p/,denmark,copenhagen,aeven-ba1p
https://www.datacentermap.com/denmark/copenhagen/aeven-eia1/,denmark,copenhagen,aeven-eia1
https://www.datacentermap.com/belgium/namur/agility-center-cofely/,belgium,namur,agility-center-cofely
https://www.datacentermap.com/greece/kozani/agios-dimitrios-data-center/,greece,kozani,agios-dimitrios-data-center
https://www.datacentermap.com/france/montpellier/ags-cloud/,france,montpellier,ags-cloud
https://www.datacentermap.com/germany/munich/ai-factory-munich/,germany,munich,ai-factory-munich
https://www.datacentermap.com/spain/las-palmas/aire-oasix-las-palmas/,spain,las-palmas,aire-oasix-las-palmas
https://www.datacentermap.com/spain/madrid/aire-oasix-madrid/,spain,madrid,aire-oasix-madrid
https://www.datacentermap.com/spain/valencia/aire-oasix-valencia/,spain,valencia,aire-oasix-valencia
https://www.datacentermap.com/ireland/galway/airwire-galway/,ireland,galway,airwire-galway
https://www.datacentermap.com/germany/frankfurt/aixit-fra1/,germany,frankfurt,aixit-fra1
https://www.datacentermap.com/germany/hamburg/akquinet-hamburg-alsterdorf/,germany,hamburg,akquinet-hamburg-alsterdorf
https://www.datacentermap.com/germany/hamburg/akquinet-hamburg-rahlstedt/,germany,hamburg,akquinet-hamburg-rahlstedt
https://www.datacentermap.com/germany/hamburg/akquinet-norderstedt/,germany,hamburg,akquinet-norderstedt
https://www.datacentermap.com/slovenia/ljubljana/akton-ljubljana/,slovenia,ljubljana,akton-ljubljana
https://www.datacentermap.com/croatia/zagreb/akton-zagreb/,croatia,zagreb,akton-zagreb
https://www.datacentermap.com/france/toulouse/albiant-it-datacenter-saphir/,france,toulouse,albiant-it-datacenter-saphir
https://www.datacentermap.com/france/paris/albiant-it-datacenter-sirius/,france,paris,albiant-it-datacenter-sirius
https://www.datacentermap.com/france/toulouse/albiant-it-datacenter-topaze/,france,toulouse,albiant-it-datacenter-topaze
https://www.datacentermap.com/france/paris/albiant-it-datacenter-vega/,france,paris,albiant-it-datacenter-vega
https://www.datacentermap.com/germany/berlin/alboin-kontor/,germany,berlin,alboin-kontor
https://www.datacentermap.com/malta/st-venera/alert-data-centre/,malta,st-venera,alert-data-centre
https://www.datacentermap.com/spain/madrid/algete-data-hub/,spain,madrid,algete-data-hub
https://www.datacentermap.com/france/bordeaux/alienornet/,france,bordeaux,alienornet
https://www.datacentermap.com/portugal/lisbon/allbs-lda-lx/,portugal,lisbon,allbs-lda-lx
https://www.datacentermap.com/france/annecy/alpes-networks-data-center/,france,annecy,alpes-networks-data-center
https://www.datacentermap.com/latvia/riga/alphahost-elijas/,latvia,riga,alphahost-elijas
https://www.datacentermap.com/france/toulouse/alsatis-verniolle/,france,toulouse,alsatis-verniolle
https://www.datacentermap.com/france/lille/alternative-data-center/,france,lille,alternative-data-center
https://www.datacentermap.com/france/rouen/altitude-vdr/,france,rouen,altitude-vdr
https://www.datacentermap.com/croatia/zagreb/altus-information/,croatia,zagreb,altus-information
https://www.datacentermap.com/germany/munich/amadeus-erding-data-centre/,germany,munich,amadeus-erding-data-centre
https://www.datacentermap.com/sweden/eskilstuna/amazon-aws-arn-eskilstuna/,sweden,eskilstuna,amazon-aws-arn-eskilstuna
https://www.datacentermap.com/sweden/katrineholm/amazon-aws-arn-katrineholm/,sweden,katrineholm,amazon-aws-arn-katrineholm
https://www.datacentermap.com/sweden/vasteras/amazon-aws-arn-vasteras/,sweden,vasteras,amazon-aws-arn-vasteras
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-airton-1/,ireland,dublin,amazon-aws-dub-airton-1
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-airton-2/,ireland,dublin,amazon-aws-dub-airton-2
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-blanchardstown-1/,ireland,dublin,amazon-aws-dub-blanchardstown-1
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-blanchardstown-2/,ireland,dublin,amazon-aws-dub-blanchardstown-2
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-blanchardstown-3/,ireland,dublin,amazon-aws-dub-blanchardstown-3
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-blanchardstown-4/,ireland,dublin,amazon-aws-dub-blanchardstown-4
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-clonshaugh-1/,ireland,dublin,amazon-aws-dub-clonshaugh-1
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-clonshaugh-2/,ireland,dublin,amazon-aws-dub-clonshaugh-2
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-clonshaugh-3/,ireland,dublin,amazon-aws-dub-clonshaugh-3
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-clonshaugh-4/,ireland,dublin,amazon-aws-dub-clonshaugh-4
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-clonshaugh-campus/,ireland,dublin,amazon-aws-dub-clonshaugh-campus
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-1/,ireland,dublin,amazon-aws-dub-hibernian-1
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-2/,ireland,dublin,amazon-aws-dub-hibernian-2
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-3/,ireland,dublin,amazon-aws-dub-hibernian-3
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-4/,ireland,dublin,amazon-aws-dub-hibernian-4
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-5/,ireland,dublin,amazon-aws-dub-hibernian-5
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-hibernian-campus/,ireland,dublin,amazon-aws-dub-hibernian-campus
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-mulhuddart-1/,ireland,dublin,amazon-aws-dub-mulhuddart-1
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-mulhuddart-2/,ireland,dublin,amazon-aws-dub-mulhuddart-2
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-mulhuddart-3/,ireland,dublin,amazon-aws-dub-mulhuddart-3
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-mulhuddart-4/,ireland,dublin,amazon-aws-dub-mulhuddart-4
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-mulhuddart-5/,ireland,dublin,amazon-aws-dub-mulhuddart-5
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-mulhuddart-6/,ireland,dublin,amazon-aws-dub-mulhuddart-6
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-mulhuddart-campus/,ireland,dublin,amazon-aws-dub-mulhuddart-campus
https://www.datacentermap.com/ireland/dublin/amazon-aws-dub-tallaght-campus/,ireland,dublin,amazon-aws-dub-tallaght-campus
https://www.datacentermap.com/ireland/drogheda/amazon-aws-ida-business-park/,ireland,drogheda,amazon-aws-ida-business-park
https://www.datacentermap.com/spain/zaragoza/amazon-aws-mad-gallego/,spain,zaragoza,amazon-aws-mad-gallego
https://www.datacentermap.com/spain/huesca/amazon-aws-mad-huesca/,spain,huesca,amazon-aws-mad-huesca
https://www.datacentermap.com/spain/zaragoza/amazon-aws-mad-la-puebla-de-hjar/,spain,zaragoza,amazon-aws-mad-la-puebla-de-hjar
https://www.datacentermap.com/spain/zaragoza/amazon-aws-mad-san-mateo-de-gllego/,spain,zaragoza,amazon-aws-mad-san-mateo-de-gllego
https://www.datacentermap.com/spain/zaragoza/amazon-aws-mad-zaragoza/,spain,zaragoza,amazon-aws-mad-zaragoza
https://www.datacentermap.com/germany/berlin/ntt-berlin-2/,germany,berlin,ntt-berlin-2
https://www.datacentermap.com/germany/berlin/ntt-berlin-3/,germany,berlin,ntt-berlin-3
https://www.datacentermap.com/spain/madrid/ntt-madrid-1/,spain,madrid,ntt-madrid-1
https://www.datacentermap.com/italy/milan/ntt-milan/,italy,milan,ntt-milan
https://www.datacentermap.com/france/paris/ntt-paris/,france,paris,ntt-paris
https://www.datacentermap.com/germany/bonn/ntt-rhein-ruhr-1/,germany,bonn,ntt-rhein-ruhr-1
https://www.datacentermap.com/germany/frankfurt/ntt-rhein-selz-park/,germany,frankfurt,ntt-rhein-selz-park
https://www.datacentermap.com/germany/nuremberg/nuernberg-center-nbg4/,germany,nuremberg,nuernberg-center-nbg4
https://www.datacentermap.com/germany/nuremberg/nuernberg-south-nbg6/,germany,nuremberg,nuernberg-south-nbg6
