"URL","Address","Description","Website","Specs","Status","Country","City","DatacenterName"
"https://www.datacentermap.com/usa/virginia/ashburn/cloudhq-lc13/","Not Found","Not Found","Not Found","Not Found","Success","","ashburn","cloudhq-lc13"
"https://www.datacentermap.com/usa/virginia/richmond/hunting-hawk-technology-park/","Not Found","Not Found","Not Found","Not Found","Success","","richmond","hunting-hawk-technology-park"
"https://www.datacentermap.com/usa/virginia/sterling/copt-mp-3/","COPT Defense Properties 45781 Maries Rd, Maries Tech Park 20166 Sterling Virginia, USA","This data center may not be available According to our data, this data center is currently listed as: Planned Data CentersUSAVirginiaSterling COPT MP-3 COPT Defense Properties 45781 Maries Rd, Maries Tech Park 20166 Sterling Virginia, USA Visit Website Suites Cages Please visit the website of COPT Defense Properties for further details about COPT MP-3. Part of Maries Tech Park This profile is a sublisting to the campus listing Maries Tech Park. - Click here to view the profile for Maries Tech Park","https://www.datacentermap.com/visit/datacenter/copt-mp-3/","No data supplied by COPT Defense Properties","Success","","sterling","copt-mp-3"
"https://www.datacentermap.com/usa/virginia/ashburn/cloudhq-lc11/","Our Market Intelligence team can provide data exports and tailored insights from our database.","Find Provider Data Center Cloud Services Internet Exchanges Northern Virginia Tour Procurement Request Quote Free Consultation Promotions Research Data Center Map About our data About DCM Advertising Contact Follow on LinkedIn Create Free Account Terms of UseSitemap","Not Found","Fully Built-Out Power 108 MW","Success","","ashburn","cloudhq-lc11"
"https://www.datacentermap.com/usa/virginia/roanoke/google-botetourt-center-industrial-park/","Google Botetourt Center Industrial Park, 984 International Pkwy 24083 Daleville Virginia, USA","This data center may not be available According to our data, this data center is currently listed as: Planned Data CentersUSAVirginiaRoanoke Google Botetourt County Campus Google Botetourt Center Industrial Park, 984 International Pkwy 24083 Daleville Virginia, USA Visit Website Overview Specs Location Google has acquired a 312-acre site in Botetourt County, Virginia, for a future data center development, marking its first major investment in the Roanoke region. The land, located within the Botetourt Center at Greenfield industrial park, is already zoned for data center use and was purchased for $14 million. While specific construction timelines and capacity details have not yet been disclosed, the site is expected to host a large-scale data center campus. As part of the agreement, Google has committed $4 million over five years to support local community projects, including investments in public schools, emergency services, and recreational facilities. The company will also cover the costs of extending utilities to the site. This is a campus listing, that covers multiple data centers. Click below listings for further details: Data Center Operated By Details Google Botetourt DC3 Google Google Botetourt DC2 Google Google Botetourt DC1 Google EVENTS This data center has timeline events listed. Typically events are related to M&A history, rebranding, capacity expansions etc. Jun 24, 2025 - Stage Change Google buys land for data center in Botetourt County, West Virginia - New Stage: Announced Related Story Mar 11, 2026 - Stage Change Google details Project Raspberry data center in Botetourt County, Virginia - New Stage: Announced Related Story","https://www.datacentermap.com/visit/datacenter/google-botetourt-center-industrial-park/","No data supplied by Google","Success","","roanoke","google-botetourt-center-industrial-park"
"https://www.datacentermap.com/usa/virginia/sterling/qts-ashburn-moran/","Our Market Intelligence team can provide data exports and tailored insights from our database.","Find Provider Data Center Cloud Services Internet Exchanges Northern Virginia Tour Procurement Request Quote Free Consultation Promotions Research Data Center Map About our data About DCM Advertising Contact Follow on LinkedIn Create Free Account Terms of UseSitemap","Not Found","Fully Built-Out Power 6 MW; Fully Built-Out Whitespace 26,820 sq.f.; Total Building Size 87,000 sq.f.","Success","","sterling","qts-ashburn-moran"
"https://www.datacentermap.com/usa/virginia/manassas/equinix-dc14/","Our Market Intelligence team can provide data exports and tailored insights from our database.","Find Provider Data Center Cloud Services Internet Exchanges Northern Virginia Tour Procurement Request Quote Free Consultation Promotions Research Data Center Map About our data About DCM Advertising Contact Follow on LinkedIn Create Free Account Terms of UseSitemap","Not Found","Fully Built-Out Whitespace 42,538 sq.f.; Total Building Size 109,800 sq.f.","Success","","manassas","equinix-dc14"
"https://www.datacentermap.com/usa/virginia/herndon/equinix-dc97/","Equinix 460 Spring Park Pl Ph 1 Bldg 4 20170 Herndon Virginia, USA","Archived Listing This data center listing is no longer active. It might just have been replaced by a new profile, or the data center may have been closed, sold off, been fully leased and not accepting new customers or may have been converted for other purposes. Data CentersUSAVirginiaHerndon Equinix DC97 Equinix 460 Spring Park Pl Ph 1 Bldg 4 20170 Herndon Virginia, USA Visit Website Please visit the website of Equinix for further details about Equinix DC97.","https://www.datacentermap.com/visit/datacenter/equinix-dc97/","No data supplied by Equinix","Success","","herndon","equinix-dc97"
"https://www.datacentermap.com/usa/virginia/gainesville-va/microsoft-13490-university-blvd/","Microsoft 13490 University Blvd 20136 Gainesville Virginia, USA","This data center may not be available According to our data, this data center is currently listed as: Land Banked Data CentersUSAVirginiaGainesville Microsoft - 13490 University Blvd Microsoft 13490 University Blvd 20136 Gainesville Virginia, USA Visit Website Overview Specs Location Microsoft Corp. acquired vacant property zoned for data centers in Gainesville, comprising about 124 acres across two parcels at 13490 University Blvd. and 5941 Wellington Road, directly south of Conway Robinson State Forest and Manassas National Battlefield Park. Disclaimer: Please be aware that Microsoft does not list its data center locations publicly. Hence all Microsoft listings in our database are based on publicly available information from third parties, open databases, property registries, construction applications, permits, tenders, news coverage and our custom research. There may be incorrect or outdated locations, as well as locations missing.","https://www.datacentermap.com/visit/datacenter/microsoft-13490-university-blvd/","No data supplied by Microsoft","Success","","gainesville-va","microsoft-13490-university-blvd"
"https://www.datacentermap.com/usa/virginia/ashburn/ashburn-wdc1/","Csquare 21561-21571 Beaumeade Circle 20147 Ashburn Virginia, USA","Data CentersUSAVirginiaAshburn Csquare Ashburn Campus Csquare 21561-21571 Beaumeade Circle 20147 Ashburn Virginia, USA Visit Website Overview Specs Ecosystem Location Gallery Request Quote Suites Cages Private Cabinets Remote Hands This premier data center has multi-cloud access, high-speed connectivity to Evoque's other US data centers, and low-latency Internet connectivity, with space and power available across two buildings. Evoque Ashburn is overbuilt to provide superior uptime and expansion capabilities. 164,453 sq. ft. data center; 98,387 sq. ft. of raised floor Standard cabinet: 45U 42"" deep 4 & 6 kW Standard cage capacity: Up to 300 W/sq. ft. Higher densities with build to suit Cloud-enabled with Evoque Connectivity Suite and Megaport 99.999% SLA on power, network and bandwidth Seismic Zone 1 Ashburn, VA Evoque Data Center Virtual Tour SOC 3 This is a campus listing, that covers multiple data centers. Click below listings for further details: Data Center Operated By Details Csquare - Ashburn IAD4-B Csquare Building B Csquare - Ashburn IAD4-A Csquare Building A EVENTS This data center has timeline events listed. Typically events are related to M&A history, rebranding, capacity expansions etc. Apr 2024 - M&A - Evoque Ashburn Company name: Evoque In April 2024, Evoque and Cyxtera merged and rebranded as Centersquare Nov 2025 - Rebranding - Centersquare Ashburn Campus Company name: Centersquare Centersquare rebranded as Csquare in late 2025","https://www.datacentermap.com/visit/datacenter/ashburn-wdc1/","Fully Built-Out Power 10 MW; Total Building Size 164,453 sq.f.","Success","","ashburn","ashburn-wdc1"
"https://www.datacentermap.com/usa/virginia/sterling/amazon-aws-45975-nokes-blvd/","Amazon AWS 45975 Nokes Blvd 20166 Sterling Virginia, USA","Archived Listing This data center listing is no longer active. It might just have been replaced by a new profile, or the data center may have been closed, sold off, been fully leased and not accepting new customers or may have been converted for other purposes. This data center may not be available According to our data, this data center is currently listed as: Land Banked Data CentersUSAVirginiaSterling Amazon AWS - 45975 Nokes Blvd Amazon AWS 45975 Nokes Blvd 20166 Sterling Virginia, USA Visit Website Overview Specs Location Amazon Web Services (AWS) has acquired three office properties in Sterling, Virginia, for approximately $30.8 million. The buildings, located at 45965, 45969, and 45975 Nokes Boulevard in the Loudoun Commerce Center, span over 170,000 square feet across nearly 15 acres. While AWS has not disclosed specific plans, it is likely these properties will be converted into data centers, as indicated by local sources. This acquisition is part of AWS's continued expansion in Northern Virginia, a region renowned for its dense concentration of data centers.","https://www.datacentermap.com/visit/datacenter/amazon-aws-45975-nokes-blvd/","No data supplied by Amazon AWS","Success","","sterling","amazon-aws-45975-nokes-blvd"
"https://www.datacentermap.com/usa/virginia/fredericksburg/stafford-technology-campus-building-8/","STACK INFRASTRUCTURE within E. Richmond Hwy, opp Sage Ln & Eskimo 22554 Stafford Virginia, USA  The exact location of this data center is not public, but it is located within E. Richmond Hwy, opp Sage Ln & Eskimo","This data center may not be available According to our data, this data center is currently listed as: Planned Data CentersUSAVirginiaFredericksburg Stafford Technology Campus - Building 8 STACK INFRASTRUCTURE within E. Richmond Hwy, opp Sage Ln & Eskimo 22554 Stafford Virginia, USA The exact location of this data center is not public, but it is located within E. Richmond Hwy, opp Sage Ln & Eskimo Visit Website Overview Specs Ecosystem Request Quote Suites Cages Private Cabinets Partial Cabinets The Stafford Technology Campus (STC) by STACK Infrastructure is a massive data center campus located in Northern Virginia. Spanning 500 acres, this campus boasts an impressive 1.1GW of capacity across four sub-campuses, housing a total of 23 data centers. The campus is powered by six 300MW substations, ensuring robust and reliable power supply. Part of Stafford Technology Campus This profile is a sublisting to the campus listing Stafford Technology Campus. - Click here to view the profile for Stafford Technology Campus","https://www.datacentermap.com/visit/datacenter/stafford-technology-campus-building-8/","No data supplied by STACK INFRASTRUCTURE","Success","","fredericksburg","stafford-technology-campus-building-8"
"https://www.datacentermap.com/usa/virginia/bristow/google-prince-william-county-campus/","Not Found","Not Found","Not Found","Not Found","Success","","bristow","google-prince-william-county-campus"
