GEOID,NAME,state,county,tract,total_population,median_household_income,total_housing_units,pct_white,pct_hs_or_above
51710004400,"Census Tract 44, Norfolk city, Virginia",51,710,004400,1537,51071.0,596,7.937540663630449,86.94835680751174
51125950300,"Census Tract 9503, Nelson County, Virginia",51,125,950300,4619,59500.0,2559,77.31110630006495,86.15611192930781
51057950800,"Census Tract 9508, Essex County, Virginia",51,057,950800,3757,65804.0,1992,64.09369177535268,83.71059013742926
51057950600,"Census Tract 9506, Essex County, Virginia",51,057,950600,3612,53953.0,1761,50.99667774086378,79.51310861423221
51057950700,"Census Tract 9507, Essex County, Virginia",51,057,950700,3667,37500.0,2094,51.24079629124625,85.17409210033695
51041100924,"Census Tract 1009.24, Chesterfield County, Virginia",51,041,100924,5004,112137.0,1803,85.23181454836131,97.56023177798109
51041100932,"Census Tract 1009.32, Chesterfield County, Virginia",51,041,100932,3685,105494.0,1247,77.74762550881954,96.18780096308186
51041101008,"Census Tract 1010.08, Chesterfield County, Virginia",51,041,101008,5128,132417.0,1679,81.57176287051482,99.48470209339774
51041100403,"Census Tract 1004.03, Chesterfield County, Virginia",51,041,100403,6234,75625.0,2924,63.41033044594161,92.52767527675276
51041100806,"Census Tract 1008.06, Chesterfield County, Virginia",51,041,100806,4032,47743.0,1555,42.336309523809526,80.09357720119098
51041100807,"Census Tract 1008.07, Chesterfield County, Virginia",51,041,100807,1676,65481.0,689,54.832935560859184,87.12121212121212
51041100923,"Census Tract 1009.23, Chesterfield County, Virginia",51,041,100923,2468,70489.0,1160,61.709886547812,90.56893900563814
51143011100,"Census Tract 111, Pittsylvania County, Virginia",51,143,011100,2909,38346.0,1425,52.18288071502234,88.67403314917127
51143010900,"Census Tract 109, Pittsylvania County, Virginia",51,143,010900,2643,52083.0,1364,90.27620128641695,82.7552031714569
51143010300,"Census Tract 103, Pittsylvania County, Virginia",51,143,010300,3964,43373.0,2560,79.43995963673058,82.4767161090031
51143011300,"Census Tract 113, Pittsylvania County, Virginia",51,143,011300,6424,49829.0,2960,80.10585305105853,90.89383130507763
51143010200,"Census Tract 102, Pittsylvania County, Virginia",51,143,010200,4320,43132.0,2295,77.52314814814815,82.7518747962178
51143010400,"Census Tract 104, Pittsylvania County, Virginia",51,143,010400,3932,48929.0,2133,76.34791454730417,74.73831123517097
51143010600,"Census Tract 106, Pittsylvania County, Virginia",51,143,010600,2970,35646.0,1673,67.3063973063973,80.05237887385421
51143010500,"Census Tract 105, Pittsylvania County, Virginia",51,143,010500,4870,48690.0,2424,59.856262833675565,83.36111111111111
51143010100,"Census Tract 101, Pittsylvania County, Virginia",51,143,010100,3872,38875.0,2218,80.0103305785124,67.96407185628742
