OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTRY,SOURCE,SOURCEDATE,VAL_DATE,WEBSITE,REGULATED,CNTRL_AREA,PLAN_AREA,HOLDING_CO,SUMMR_PEAK,WINTR_PEAK,SUMMER_CAP,WINTER_CAP,NET_GEN,PURCHASED,NET_EX,RETAIL_MWH,WSALE_MWH,TOTAL_MWH,TRANS_MWH,CUSTOMERS,YEAR,Shape__Are,Shape__Len,NameProp,TypeProp,CityProp,CntrlProp,SimpleType,HoldCoProp,NameFinal,TypeAdj,index_right
44,10331,KINGSPORT POWER CO,NOT AVAILABLE,NOT AVAILABLE,OH,NOT AVAILABLE,INVESTOR OWNED,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census",2021-10-06,2018-10-12,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,KINGSPORT POWER CO,284.0,386.0,-999999.0,-999999.0,-999999,1700362,0,1661014,-999999,1700362,0,48444,2020,0.327725847040711,4.21678273384649,Kingsport Power Co,Investor owned,Not available,PJM Interconnection,IOU,Kingsport Power Co,Kingsport Power Co,Investor owned,20
94,1062,BARC ELECTRIC COOP INC,NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.electric.coop/information-hub-electric-co-ops-hurricane-michael/",2021-10-06,2019-05-01,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,BARC ELECTRIC COOP INC,-999999.0,-999999.0,-999999.0,-999999.0,169744,-999999,-999999,-999999,-999999,-999999,-999999,-999999,2020,0.459081924253724,4.6571106462815,BARC Electric Coop Inc,Cooperative,Not available,PJM Interconnection,Coop,BARC Electric Coop Inc,BARC Electric Coop,Cooperative,20
253,11560,CITY OF MANASSAS - (VA),8500 PUBLIC WORKS D,MANASSAS,VA,20110,MUNICIPAL,USA,"EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021-10-06,2018-10-12,NOT AVAILABLE,REGULATED,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,CITY OF MANASSAS - (VA),85.0,68.0,49.2,49.2,1525,402819,0,389473,-999999,404344,0,16351,2020,0.002671912851156,0.313539167988661,City of Manassas - (VA),Municipal,Manassas,PJM Interconnection,MuniAndPublic,City of Manassas - (VA),City of Manassas (VA),Municipal utility,20
288,11770,CITY OF MARTINSVILLE - (VA),P.O. BOX 1112,MARTINSVILLE,VA,24114,MUNICIPAL,USA,"EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021-10-06,2018-10-12,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,CITY OF MARTINSVILLE - (VA),-999999.0,-999999.0,-999999.0,-999999.0,153545,-999999,-999999,-999999,-999999,-999999,-999999,-999999,2020,0.011159396715129,2.11887550980493,City of Martinsville - (VA),Municipal,Martinsville,PJM Interconnection,MuniAndPublic,City of Martinsville - (VA),City of Martinsville (VA),Municipal utility,20
328,12260,MECKLENBURG ELECTRIC COOPERATIVE,NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.electric.coop/information-hub-electric-co-ops-hurricane-michael/",2021-10-06,2019-05-01,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,MECKLENBURG ELECTRIC COOPERATIVE,123.0,130.0,-999999.0,-999999.0,-999999,598889,0,567120,-999999,598889,0,31641,2020,1.27901774753832,10.1067075459713,Mecklenburg Electric Cooperative,Cooperative,Not available,PJM Interconnection,Coop,Mecklenburg Electric Cooperative,Mecklenburg Electric Cooperative,Cooperative,20
408,12796,MONONGAHELA POWER CO,800 CABIN HILL DRIVE,GREENSBURG,PA,15601,INVESTOR OWNED,USA,"EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, http://outages.firstenergycorp.com/mdwv.html, https://www.firstenergycorp.com/content/fecorp/economicdevelopment/about/service_territory.html",2021-10-06,2019-05-01,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,FIRSTENERGY CORP,2114.0,1896.0,3052.0,3082.0,12175520,2880657,0,12091976,2476496,15056177,0,393787,2020,3.34180029283516,13.7321639120236,Monongahela Power Co,Investor owned,Greensburg,PJM Interconnection,IOU,FirstEnergy Corp,MonPower (FirstEnergy),Investor owned,20
555,13640,NORTHERN VIRGINIA ELEC COOP,NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.novec.com/stormcenter/index.cfm",2021-10-06,2019-05-01,NOT AVAILABLE,REGULATED,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,NORTHERN VIRGINIA ELEC COOP,1274.0,987.0,-999999.0,-999999.0,-999999,6408786,0,6208712,0,6408786,0,175598,2020,0.181396741894105,8.24165084574579,Northern Virginia Electric Coop,Cooperative,Not available,PJM Interconnection,Coop,Northern Virginia Electric Coop,Northern Virginia Electric Coop,Cooperative,20
593,13762,"NORTHERN NECK ELEC COOP, INC",NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.electric.coop/information-hub-electric-co-ops-hurricane-michael/",2021-10-06,2019-05-01,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,"NORTHERN NECK ELEC COOP, INC",68.0,70.0,-999999.0,-999999.0,-999999,281882,0,263616,-999999,281882,0,19472,2020,0.271165789402858,5.06899404306366,"Northern Neck Electric Coop, Inc",Cooperative,Not available,PJM Interconnection,Coop,"Northern Neck Electric Coop, Inc",Northern Neck Electric Coop,Cooperative,20
730,1456,TOWN OF BEDFORD - (VA),215 EAST MAIN STREET,BEDFORD,VA,24523,MUNICIPAL,USA,"EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021-10-06,2018-10-12,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,TOWN OF BEDFORD - (VA),37.0,44.0,6.8,6.8,10916,194756,0,170520,-999999,205672,0,6723,2020,0.001769196211853,0.54589147416977,Town of Bedford - (VA),Municipal,Bedford,PJM Interconnection,MuniAndPublic,Town of Bedford - (VA),Town of Bedford (VA),Municipal utility,20
829,15263,THE POTOMAC EDISON COMPANY,NOT AVAILABLE,NOT AVAILABLE,PA,NOT AVAILABLE,INVESTOR OWNED,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, http://outages.firstenergycorp.com/mdwv.html",2021-10-06,2020-05-15,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,FIRSTENERGY CORP,2862.0,2905.0,-999999.0,-999999.0,3720122,4440519,0,7019642,988671,8160641,0,423133,2020,1.42406147676138,8.75357272472386,The Potomac Edison Company,Investor owned,Not available,PJM Interconnection,IOU,FirstEnergy Corp,Potomac Edison (FirstEnergy),Investor owned,20
