"timeframe","state","rps"
"2015-2016","AZ",0.000716507542862379
"2015-2016","CA",0.00139789347980453
"2015-2016","CO",0
"2015-2016","CT",0.0205673909317315
"2015-2016","DE",0
"2015-2016","IA",0
"2015-2016","IL",0.000707776577476391
"2015-2016","MA",0.00968141573987381
"2015-2016","MD",0
"2015-2016","ME",0.0114336492802683
"2015-2016","MI",0.00293782427876774
"2015-2016","MN",0
"2015-2016","MO",0
"2015-2016","NC",0
"2015-2016","NH",0.00252236569626007
"2015-2016","NJ",0
"2015-2016","NM",0.00552872916523499
"2015-2016","NV",0.00660748051968243
"2015-2016","NY",0
"2015-2016","OH",0.000945628277558027
"2015-2016","OR",0
"2015-2016","PA",0
"2015-2016","RI",0.0226644210004367
"2015-2016","TX",0
"2015-2016","VA",0
"2015-2016","VT",0
"2015-2016","WA",0.0167898414940036
"2015-2016","WI",0
"2015-2017","AZ",0.000267774484554609
"2015-2017","CA",0.00414393567697497
"2015-2017","CO",0
"2015-2017","CT",0.0358777745595118
"2015-2017","DE",0
"2015-2017","IA",0
"2015-2017","IL",0.000691704868908808
"2015-2017","MA",-0.0085876436780851
"2015-2017","MD",0
"2015-2017","ME",0.0243905101800273
"2015-2017","MI",0.00432134408066142
"2015-2017","MN",0
"2015-2017","MO",0
"2015-2017","NC",0
"2015-2017","NH",0.0199728511666349
"2015-2017","NJ",0
"2015-2017","NM",0.00424217962476368
"2015-2017","NV",0.0158848118903855
"2015-2017","NY",0
"2015-2017","OH",0.00111595846223388
"2015-2017","OR",0
"2015-2017","PA",0
"2015-2017","RI",0.0419411327347499
"2015-2017","TX",0
"2015-2017","VA",0
"2015-2017","VT",0
"2015-2017","WA",0.0227048431730601
"2015-2017","WI",0
"2015-2018","AZ",0.000334285135391326
"2015-2018","CA",0.0117009020225549
"2015-2018","CO",0
"2015-2018","CT",0.0489247183665024
"2015-2018","DE",0
"2015-2018","IA",0
"2015-2018","IL",0
"2015-2018","MA",0.00488751769000457
"2015-2018","MD",0
"2015-2018","ME",0.0278622577854101
"2015-2018","MI",0.00450747810393023
"2015-2018","MN",0
"2015-2018","MO",0
"2015-2018","NC",0
"2015-2018","NH",0.0254421863936344
"2015-2018","NJ",0
"2015-2018","NM",0.00430734932818696
"2015-2018","NV",0.0189862222578817
"2015-2018","NY",0
"2015-2018","OH",0.00134625305634535
"2015-2018","OR",0
"2015-2018","PA",0
"2015-2018","RI",0.0524733497116416
"2015-2018","TX",0
"2015-2018","VA",0
"2015-2018","VT",0
"2015-2018","WA",0.034317165084156
"2015-2018","WI",0
"2015-2019","AZ",0.000856184175973611
"2015-2019","CA",0.0140168184743957
"2015-2019","CO",0
"2015-2019","CT",0.0629943645498739
"2015-2019","DE",0
"2015-2019","IA",0
"2015-2019","IL",0
"2015-2019","MA",0.00544044547815981
"2015-2019","MD",0.0206235219970485
"2015-2019","ME",0.0193316716249497
"2015-2019","MI",0.0116267648053317
"2015-2019","MN",0
"2015-2019","MO",0.017326246694322
"2015-2019","NC",0
"2015-2019","NH",0.0267014961931555
"2015-2019","NJ",0.00201908245359229
"2015-2019","NM",0.00400765529669687
"2015-2019","NV",0.0214701981055362
"2015-2019","NY",0
"2015-2019","OH",0.00173778348976424
"2015-2019","OR",0
"2015-2019","PA",0.000651851715464015
"2015-2019","RI",0.0584321057476994
"2015-2019","TX",0
"2015-2019","VA",0
"2015-2019","VT",0
"2015-2019","WA",0.0344524461481827
"2015-2019","WI",0
"2015-2020","AZ",0.00139044446566992
"2015-2020","CA",0.0183191277313514
"2015-2020","CO",0.00136933507669795
"2015-2020","CT",0.0661869633711999
"2015-2020","DE",0
"2015-2020","IA",0
"2015-2020","IL",0
"2015-2020","MA",0.0194077160470917
"2015-2020","MD",0.0362109598446246
"2015-2020","ME",0.038432539212072
"2015-2020","MI",0.0237988155504601
"2015-2020","MN",0
"2015-2020","MO",0.0203718869733652
"2015-2020","NC",0
"2015-2020","NH",0.0325776311589241
"2015-2020","NJ",0.0132439220407253
"2015-2020","NM",0.0314520247274207
"2015-2020","NV",0.0545288052702393
"2015-2020","NY",0.0139362188740298
"2015-2020","OH",0
"2015-2020","OR",0
"2015-2020","PA",0.00127900810397472
"2015-2020","RI",0.0679535901051586
"2015-2020","TX",0
"2015-2020","VA",0
"2015-2020","VT",0.000766982955906071
"2015-2020","WA",0.0710066857541949
"2015-2020","WI",0
"2015-2021","AZ",0.00173463349742679
"2015-2021","CA",0.0247006742702633
"2015-2021","CO",0.003560367289214
"2015-2021","CT",0.0819805465899199
"2015-2021","DE",0
"2015-2021","IA",0
"2015-2021","IL",0.00477227190400238
"2015-2021","MA",0.0331753341791476
"2015-2021","MD",0.0469086811254524
"2015-2021","ME",0.0616507446879004
"2015-2021","MI",0.0461179956492361
"2015-2021","MN",0
"2015-2021","MO",0.0397056827620693
"2015-2021","NC",0
"2015-2021","NH",0.0397935931913267
"2015-2021","NJ",0.00653028129794946
"2015-2021","NM",0.0533287363793696
"2015-2021","NV",0.0695782002384021
"2015-2021","NY",0.0364222095091043
"2015-2021","OH",0
"2015-2021","OR",0
"2015-2021","PA",0.000650481355628166
"2015-2021","RI",0.080717406045645
"2015-2021","TX",0
"2015-2021","VA",0.00064854259939454
"2015-2021","VT",0.00654289349274729
"2015-2021","WA",0.0722853475904402
"2015-2021","WI",0
"2015-2022","AZ",0.00196463895732581
"2015-2022","CA",0.0337719073624546
"2015-2022","CO",0.00344330404331462
"2015-2022","CT",0.0926646861626739
"2015-2022","DE",0.0308603937500152
"2015-2022","IA",0
"2015-2022","IL",0.0485357587146313
"2015-2022","MA",0.045170758427629
"2015-2022","MD",0.0901648477459735
"2015-2022","ME",0.0902191303532029
"2015-2022","MI",0.0447609015462873
"2015-2022","MN",0
"2015-2022","MO",0.0490259938703192
"2015-2022","NC",0
"2015-2022","NH",0.04483221746511
"2015-2022","NJ",0.0330267098000501
"2015-2022","NM",0.0828909696139005
"2015-2022","NV",0.117612218498656
"2015-2022","NY",0.0432428171241752
"2015-2022","OH",0.013469959539867
"2015-2022","OR",0
"2015-2022","PA",0.0111744578795216
"2015-2022","RI",0.0956189954509862
"2015-2022","TX",0
"2015-2022","VA",0.0436968434078918
"2015-2022","VT",0.0122311413644911
"2015-2022","WA",0.074686350669957
"2015-2022","WI",0
"2015-2023","AZ",0.00226255431585935
"2015-2023","CA",0.0363699444870653
"2015-2023","CO",0.0029165286761712
"2015-2023","CT",0.0973782464877769
"2015-2023","DE",0.0671627583432658
"2015-2023","IA",0
"2015-2023","IL",0.0773361979975103
"2015-2023","MA",0.0535460181194045
"2015-2023","MD",0.148087880093275
"2015-2023","ME",0.103663420435667
"2015-2023","MI",0.0420942458830959
"2015-2023","MN",0
"2015-2023","MO",0.0467605063420076
"2015-2023","NC",0
"2015-2023","NH",0.0478981250611629
"2015-2023","NJ",0.0721544238598082
"2015-2023","NM",0.0935110244837596
"2015-2023","NV",0.124751604192041
"2015-2023","NY",0.0702392826767556
"2015-2023","OH",0.0271567530409656
"2015-2023","OR",0
"2015-2023","PA",0.021849706893381
