"timeframe","var","coeff","result","se","ss","lo","hi"
"2015-2024","(Intercept)",-0.82920584217505,"R-0.83* (0.2)",0.202976504588244,"*",-1.31706384486623,-0.341347839483874
"2015-2024","st_wind_solar_delta",-0.249941761536417,"R-0.25 (0.23)",0.233078578359968,"",-0.916301092483835,0.416417569411002
"2015-2024","st_rps_sales_cost",0.0314300894145981,"R0.03 (0.21)",0.208071809643429,"",-0.632958560653445,0.695818739482641
"2015-2024","st_btm_delta",0.841311263294766,"R0.84 (0.42)",0.421695810871702,"",-0.276690789930145,1.95931331651968
"2015-2024","st_load_pct",-0.549986464346056,"R-0.55* (0.1)",0.0953668068811713,"*",-0.901466352189173,-0.198506576502939
"2015-2024","st_gas_exposure",-0.130482455688728,"R-0.13 (0.13)",0.128912400101716,"",-0.495285074180087,0.234320162802631
"2015-2024","st_saifi_delta",0.00695586844297886,"R0.01 (0.16)",0.161025024013799,"",-0.45765035903295,0.471562095918907
"2015-2024","ca_rescale",0.537326773543364,"R0.54 (0.27)",0.267300065646703,"",-0.23342157308312,1.30807512016985
"2015-2024","st_rate_delta_pre",0.10472801703604,"R0.1 (0.21)",0.212114293889205,"",-0.495906826914829,0.705362860986909
"2016-2024","(Intercept)",-0.588471681946926,"R-0.59* (0.12)",0.124054858237952,"*",-0.882296280299148,-0.294647083594704
"2016-2024","st_wind_solar_delta",-0.170475608215482,"R-0.17 (0.14)",0.143801519447026,"",-0.596605927240479,0.255654710809516
"2016-2024","st_rps_sales_cost",0.122590464340151,"R0.12 (0.24)",0.239258288922944,"",-0.727372891273912,0.972553819954214
"2016-2024","st_btm_delta",0.849065395829085,"R0.85* (0.21)",0.210966128309326,"*",0.261126585530159,1.43700420612801
"2016-2024","st_load_pct",-0.46402808360732,"R-0.46* (0.06)",0.0573881237123967,"*",-0.675690745145319,-0.252365422069321
"2016-2024","st_gas_exposure",0.203781868204284,"R0.2 (0.15)",0.14859425859129,"",-0.169179719450535,0.576743455859104
"2016-2024","st_saifi_delta",0.123422802639564,"R0.12 (0.12)",0.117471720927858,"",-0.169540584331952,0.41638618961108
"2016-2024","ca_rescale",0.583806938584707,"R0.58* (0.14)",0.144397558766972,"*",0.167864425042882,0.999749452126532
"2016-2024","st_rate_delta_pre",0.0333365166820643,"R0.03 (0.15)",0.151087932611948,"",-0.403666265683134,0.470339299047262
"2017-2024","(Intercept)",-0.549835954439041,"R-0.55* (0.1)",0.103059312439559,"*",-0.794422919613507,-0.305248989264574
"2017-2024","st_wind_solar_delta",-0.169362213073569,"R-0.17 (0.1)",0.104374015944322,"",-0.483395571258189,0.14467114511105
"2017-2024","st_rps_sales_cost",0.254331126249928,"R0.25 (0.16)",0.164766992064418,"",-0.340551150697649,0.849213403197504
"2017-2024","st_btm_delta",0.739172202160806,"R0.74* (0.17)",0.165620910923151,"*",0.285860772213361,1.19248363210825
"2017-2024","st_load_pct",-0.495913849023842,"R-0.5* (0.07)",0.0650831316022667,"*",-0.697602446635131,-0.294225251412553
"2017-2024","st_gas_exposure",0.161256261929697,"R0.16 (0.09)",0.0917004660914986,"",-0.0757771089512956,0.398289632810691
"2017-2024","st_saifi_delta",0.0804422160934329,"R0.08 (0.1)",0.0977994645993581,"",-0.232274931939861,0.393159364126727
"2017-2024","ca_rescale",0.564868476962274,"R0.56* (0.1)",0.100888975097677,"*",0.285981785514067,0.843755168410481
"2017-2024","st_rate_delta_pre",0.0188157747237213,"R0.02 (0.13)",0.13391548286787,"",-0.352471986236158,0.3901035356836
"2018-2024","(Intercept)",-0.356832839107373,"R-0.36* (0.04)",0.0429893304339126,"*",-0.458832182587844,-0.254833495626902
"2018-2024","st_wind_solar_delta",-0.193325276019261,"R-0.19 (0.08)",0.0757736418716008,"",-0.432968433367783,0.0463178813292615
