"timeframe","var","coeff","result","se","ss","lo","hi"
"2015-2020","(Intercept)",-0.841243014936538,"R-0.84* (0.21)",0.212119143544285,"*",-1.3473846693902,-0.335101360482873
"2015-2020","st_wind_solar_delta",0.10611024669478,"R0.11 (0.1)",0.0993526794217126,"",-0.141293974322086,0.353514467711645
"2015-2020","st_rps_sales_cost",0.205039556268644,"R0.21 (0.13)",0.12574497614312,"",-0.280831964878792,0.69091107741608
"2015-2020","st_btm_delta",-0.168416449100474,"R-0.17 (0.37)",0.367818262949577,"",-1.49311534178107,1.15628244358012
"2015-2020","st_load_pct",-0.331372720082422,"R-0.33 (0.13)",0.131736721795691,"",-0.686659615319413,0.0239141751545685
"2015-2020","st_gas_exposure",-0.169813915708997,"R-0.17 (0.09)",0.0876428718507954,"",-0.411412171884665,0.0717843404666717
"2015-2020","st_saifi_delta",0.0135697794684698,"R0.01 (0.1)",0.103009012473074,"",-0.250466806006008,0.277606364942947
"2015-2020","ca_rescale",0.239864580030847,"R0.24 (0.25)",0.253816881869624,"",-0.867315172877176,1.34704433293887
"2015-2020","st_rate_delta_pre",0.35776988984071,"R0.36* (0.1)",0.0971611297589575,"*",0.0656306161532074,0.649909163528213
"2016-2021","(Intercept)",-0.750951279691966,"R-0.75* (0.15)",0.148769680156525,"*",-1.10485555936486,-0.397047000019077
"2016-2021","st_wind_solar_delta",0.145436159558781,"R0.15* (0.05)",0.0456978462004466,"*",0.0278919975818795,0.262980321535683
"2016-2021","st_rps_sales_cost",-0.065340256264163,"R-0.07 (0.3)",0.298214904394319,"",-0.953303130061087,0.822622617532761
"2016-2021","st_btm_delta",0.0448304955669447,"R0.04 (0.31)",0.311389144731236,"",-1.01833397218604,1.10799496331993
"2016-2021","st_load_pct",-0.299750206886486,"R-0.3* (0.06)",0.0582555098702948,"*",-0.466162896466977,-0.133337517305995
"2016-2021","st_gas_exposure",0.130369262202445,"R0.13 (0.08)",0.0786844739240706,"",-0.0764397840972523,0.337178308502143
"2016-2021","st_saifi_delta",0.192378850481856,"R0.19 (0.27)",0.266475970980414,"",-0.778246692271039,1.16300439323475
"2016-2021","ca_rescale",0.323965072238804,"R0.32 (0.19)",0.191979980913079,"",-0.44363783959037,1.09156798406798
"2016-2021","st_rate_delta_pre",0.103665373280738,"R0.1 (0.09)",0.0949870340775589,"",-0.169128402994995,0.376459149556471
"2017-2022","(Intercept)",-0.472158006670783,"R-0.47* (0.16)",0.164760290325934,"*",-0.862246944372615,-0.0820690689689507
"2017-2022","st_wind_solar_delta",-0.0650216673095747,"R-0.07 (0.09)",0.0882017148991606,"",-0.331674791826136,0.201631457206986
"2017-2022","st_rps_sales_cost",0.689007954037967,"R0.69 (0.18)",0.17691719396443,"",-0.0161587842740762,1.39417469235001
"2017-2022","st_btm_delta",-0.348856303043679,"R-0.35 (0.18)",0.175864328386957,"",-0.939898509419539,0.242185903332181
"2017-2022","st_load_pct",-0.234641157092838,"R-0.23 (0.23)",0.233928976137781,"",-0.848911374723505,0.379629060537829
"2017-2022","st_gas_exposure",0.292151476444822,"R0.29 (0.26)",0.255725483966289,"",-0.395699663475092,0.980002616364737
"2017-2022","st_saifi_delta",0.0149421643978297,"R0.01 (0.14)",0.142996421502793,"",-0.700652700983376,0.730537029779035
"2017-2022","ca_rescale",0.617563137837511,"R0.62* (0.09)",0.0901042842949716,"*",0.268545147381302,0.966581128293719
"2017-2022","st_rate_delta_pre",-0.0798676602763358,"R-0.08 (0.2)",0.196449587966121,"",-0.624384764866607,0.464649444313936
"2018-2023","(Intercept)",-0.219150307378746,"R-0.22* (0.03)",0.0314830889944834,"*",-0.293654303993933,-0.144646310763559
