"timeframe","var","coeff","result","se"
"2015-2020","AMI delta",0.5731612164757,"R0.57 (1.31)",1.31024444412666
"2016-2021","AMI delta",0.648360701593543,"R0.65* (0.08)",0.0762154167408607
"2017-2022","AMI delta",-0.387181540349133,"R-0.39 (0.41)",0.409718301400431
"2018-2023","AMI delta",-1.03729990035554,"R-1.04 (0.74)",0.735820981839005
"2019-2024","AMI delta",-1.35442169512926,"R-1.35* (0.26)",0.257313990855315
"2015-2020","DR potential",0.0400448524015449,"R0.04 (0.23)",0.234707805170483
"2016-2021","DR potential",-0.0563460647741774,"R-0.06 (0.18)",0.184632799355555
"2017-2022","DR potential",-0.188316484216874,"R-0.19 (0.22)",0.223761420867117
"2018-2023","DR potential",-0.0991842438094744,"R-0.1 (0.16)",0.159728441423488
"2019-2024","DR potential",-0.0297992416715449,"R-0.03 (0.05)",0.0523096698019458
"2015-2020","EE delta",0.162767380363051,"R0.16 (0.24)",0.236673634211969
"2016-2021","EE delta",0.126877005655352,"R0.13 (0.27)",0.272043027537996
"2017-2022","EE delta",0.0532429288463239,"R0.05 (0.18)",0.180944195166857
"2018-2023","EE delta",-0.0379015952317434,"R-0.04 (0.12)",0.116489374655072
"2019-2024","EE delta",-0.0010914128192827,"R0 (0.14)",0.142346562083883
"2015-2020","EV delta",NA,"RNANA (NA)",NA
"2016-2021","EV delta",-0.023216137347403,"R-0.02 (0.12)",0.12114837121177
"2017-2022","EV delta",0.00665891697932275,"R0.01 (0.14)",0.139014381153899
"2018-2023","EV delta",0.169129250788147,"R0.17 (0.13)",0.129805721903607
"2019-2024","EV delta",NA,"RNANA (NA)",NA
"2015-2020","ISO",0.193818093132113,"R0.19 (0.2)",0.20317277057562
"2016-2021","ISO",0.0906150862968735,"R0.09 (0.12)",0.118870194270723
"2017-2022","ISO",0.241509291912607,"R0.24 (0.14)",0.143590067461856
"2018-2023","ISO",0.0367865291693758,"R0.04 (0.11)",0.111099886301164
"2019-2024","ISO",0.00948711792930239,"R0.01 (0.13)",0.131614591367634
"2015-2020","POU%",0.000432045002736362,"R0 (0.12)",0.115189077554834
"2016-2021","POU%",0.0966839945042154,"R0.1 (0.13)",0.128650923369582
"2017-2022","POU%",-0.115519873921232,"R-0.12 (0.12)",0.12427143064578
"2018-2023","POU%",-0.251603199529753,"R-0.25 (0.15)",0.145225988997433
"2019-2024","POU%",-0.139575892515891,"R-0.14 (0.1)",0.0951968572461249
"2015-2020","coal retirements",-0.0449277205455525,"R-0.04 (0.09)",0.0941613827646846
"2016-2021","coal retirements",-0.0744885019564129,"R-0.07 (0.03)",0.032032313216211
"2017-2022","coal retirements",-0.0501537379753285,"R-0.05 (0.04)",0.0372499827145559
"2018-2023","coal retirements",-0.147867976123432,"R-0.15 (0.15)",0.149517645063227
"2019-2024","coal retirements",-0.0262975385468836,"R-0.03 (0.03)",0.0291704747553554
"2015-2020","retail competition",-0.131452801667227,"R-0.13 (0.08)",0.0761662381351628
"2016-2021","retail competition",-0.176694167274644,"R-0.18 (0.1)",0.101801627513327
"2017-2022","retail competition",0.153181600355112,"R0.15 (0.15)",0.154383302369699
"2018-2023","retail competition",0.233429361335316,"R0.23 (0.16)",0.159768074271764
"2019-2024","retail competition",0.214773625555228,"R0.21* (0.07)",0.0694718320442891
"2015-2020","risk: natural hazard",0.0173484030364352,"R0.02 (0.06)",0.055220793388702
"2016-2021","risk: natural hazard",0.0661602490156418,"R0.07 (0.15)",0.152020604689602
"2017-2022","risk: natural hazard",-0.0105357004785613,"R-0.01 (0.06)",0.0621136134944558
"2018-2023","risk: natural hazard",0.242198456200753,"R0.24 (0.17)",0.16610694404774
"2019-2024","risk: natural hazard",-0.181514111928619,"R-0.18 (0.22)",0.221580721721371
"2015-2020","risk: wildfire",-0.363401001371891,"R-0.36 (0.16)",0.156034900680397
"2016-2021","risk: wildfire",-0.153701129854806,"R-0.15 (0.14)",0.144516744825693
"2017-2022","risk: wildfire",-0.244870702005477,"R-0.24 (0.1)",0.098903957978002
"2018-2023","risk: wildfire",0.0483752812804299,"R0.05 (0.11)",0.113476025292208
"2019-2024","risk: wildfire",0.0645285030452892,"R0.06 (0.11)",0.106019024490163
"2015-2020","risk: wildfire (no CA dummy)",-0.301139835726274,"R-0.3 (0.12)",0.117347694126479
"2016-2021","risk: wildfire (no CA dummy)",-0.0725035539598911,"R-0.07 (0.1)",0.0997081819937191
"2017-2022","risk: wildfire (no CA dummy)",-0.123882173723008,"R-0.12 (0.14)",0.14148674815907
"2018-2023","risk: wildfire (no CA dummy)",0.148870594758527,"R0.15 (0.16)",0.159243502471584
"2019-2024","risk: wildfire (no CA dummy)",0.340247357002541,"R0.34 (0.14)",0.139306889780853
"2015-2020","utility owned gen",0.0959142801574557,"R0.1 (0.1)",0.102629594653815
"2016-2021","utility owned gen",0.250314638479942,"R0.25 (0.2)",0.200942559146832
"2017-2022","utility owned gen",-0.126802866028827,"R-0.13 (0.23)",0.226048092552795
"2018-2023","utility owned gen",-0.206907058823858,"R-0.21 (0.19)",0.194801992476055
"2019-2024","utility owned gen",-0.184641782733892,"R-0.18 (0.13)",0.133974109210146
