"var","timeframe","vif"
"st_wind_solar_delta","2015-2020",1.61123501454197
"st_rps_sales_cost","2015-2020",2.20084254318441
"st_btm_delta","2015-2020",3.30122538426019
"st_load_pct","2015-2020",1.62103071957927
"st_gas_exposure","2015-2020",1.83805088124949
"st_saifi_delta","2015-2020",1.33123556536611
"ca_rescale","2015-2020",2.14848340705038
"st_rate_delta_pre","2015-2020",1.21575568057084
"st_wind_solar_delta","2016-2021",1.46631094087314
"st_rps_sales_cost","2016-2021",2.63870438793927
"st_btm_delta","2016-2021",3.60875891094536
"st_load_pct","2016-2021",1.44034436760864
"st_gas_exposure","2016-2021",1.81833724617365
"st_saifi_delta","2016-2021",1.45922438910271
"ca_rescale","2016-2021",2.06192182753738
"st_rate_delta_pre","2016-2021",1.28907836855125
"st_wind_solar_delta","2017-2022",1.45571868366539
"st_rps_sales_cost","2017-2022",3.14230409217678
"st_btm_delta","2017-2022",4.2357796474083
"st_load_pct","2017-2022",1.38597371406569
"st_gas_exposure","2017-2022",1.59971116647095
"st_saifi_delta","2017-2022",1.07126098350078
"ca_rescale","2017-2022",2.08235639346365
"st_rate_delta_pre","2017-2022",1.43686693166961
"st_wind_solar_delta","2018-2023",1.29572802057917
"st_rps_sales_cost","2018-2023",4.49486464692971
"st_btm_delta","2018-2023",5.3734819434983
"st_load_pct","2018-2023",1.31853140213761
"st_gas_exposure","2018-2023",1.59355661710173
"st_saifi_delta","2018-2023",1.21218673657793
"ca_rescale","2018-2023",2.29724681020186
"st_rate_delta_pre","2018-2023",1.5095696474392
"st_wind_solar_delta","2019-2024",1.26987346384504
"st_rps_sales_cost","2019-2024",3.52751293653156
"st_btm_delta","2019-2024",4.24980377888211
"st_load_pct","2019-2024",1.22418713209907
"st_gas_exposure","2019-2024",1.44002964533925
"st_saifi_delta","2019-2024",1.17438793320277
"ca_rescale","2019-2024",1.62289387835797
"st_rate_delta_pre","2019-2024",1.21917813605491
